                       w                      Re11                         w                      Im11
  3.6992253496019813E+01    3.9140926353762621E-03    3.6992253496019813E+01    3.7039826025752211E-02
  3.7149333128699304E+01    3.8815273787810973E-03    3.7149333128699304E+01    3.6886994346255218E-02
  3.7306412761378795E+01    3.8493649640183132E-03    3.7306412761378795E+01    3.6735403122751115E-02
  3.7463492394058285E+01    3.8175988049066619E-03    3.7463492394058285E+01    3.6585037508287420E-02
  3.7620572026737776E+01    3.7862224486872112E-03    3.7620572026737776E+01    3.6435882888659579E-02
  3.7777651659417259E+01    3.7552295728083152E-03    3.7777651659417259E+01    3.6287924877936112E-02
  3.7934731292096750E+01    3.7246139818001593E-03    3.7934731292096750E+01    3.6141149314085012E-02
  3.8091810924776240E+01    3.6943696042360833E-03    3.8091810924776240E+01    3.5995542254698601E-02
  3.8248890557455731E+01    3.6644904897779273E-03    3.8248890557455731E+01    3.5851089972814311E-02
  3.8405970190135221E+01    3.6349708063027788E-03    3.8405970190135221E+01    3.5707778952829089E-02
  3.8563049822814712E+01    3.6058048371085836E-03    3.8563049822814712E+01    3.5565595886504819E-02
  3.8720129455494202E+01    3.5769869781961585E-03    3.8720129455494202E+01    3.5424527669062643E-02
  3.8877209088173693E+01    3.5485117356252524E-03    3.8877209088173693E+01    3.5284561395363775E-02
  3.9034288720853176E+01    3.5203737229423542E-03    3.9034288720853176E+01    3.5145684356174753E-02
  3.9191368353532667E+01    3.4925676586780485E-03    3.9191368353532667E+01    3.5007884034514873E-02
  3.9348447986212157E+01    3.4650883639118020E-03    3.9348447986212157E+01    3.4871148102083832E-02
  3.9505527618891648E+01    3.4379307599020862E-03    3.9505527618891648E+01    3.4735464415767525E-02
  3.9662607251571139E+01    3.4110898657798922E-03    3.9662607251571139E+01    3.4600821014220060E-02
  3.9819686884250629E+01    3.3845607963036827E-03    3.9819686884250629E+01    3.4467206114520046E-02
  3.9976766516930120E+01    3.3583387596739398E-03    3.9976766516930120E+01    3.4334608108899413E-02
  4.0133846149609610E+01    3.3324190554055175E-03    4.0133846149609610E+01    3.4203015561542843E-02
  4.0290925782289094E+01    3.3067970722560633E-03    4.0290925782289094E+01    3.4072417205456153E-02
  4.0448005414968584E+01    3.2814682862088223E-03    4.0448005414968584E+01    3.3942801939401870E-02
  4.0605085047648075E+01    3.2564282585082335E-03    4.0605085047648075E+01    3.3814158824900478E-02
  4.0762164680327565E+01    3.2316726337467167E-03    4.0762164680327565E+01    3.3686477083295488E-02
  4.0919244313007056E+01    3.2071971380011636E-03    4.0919244313007056E+01    3.3559746092881024E-02
  4.1076323945686546E+01    3.1829975770176601E-03    4.1076323945686546E+01    3.3433955386090286E-02
  4.1233403578366037E+01    3.1590698344430199E-03    4.1233403578366037E+01    3.3309094646743392E-02
  4.1390483211045527E+01    3.1354098701017719E-03    4.1390483211045527E+01    3.3185153707353213E-02
  4.1547562843725011E+01    3.1120137183172619E-03    4.1547562843725011E+01    3.3062122546487757E-02
  4.1704642476404501E+01    3.0888774862755978E-03    4.1704642476404501E+01    3.2939991286187839E-02
  4.1861722109083992E+01    3.0659973524312014E-03    4.1861722109083992E+01    3.2818750189438570E-02
  4.2018801741763482E+01    3.0433695649527545E-03    4.2018801741763482E+01    3.2698389657693477E-02
  4.2175881374442973E+01    3.0209904402083844E-03    4.2175881374442973E+01    3.2578900228449975E-02
  4.2332961007122464E+01    2.9988563612889734E-03    4.2332961007122464E+01    3.2460272572874940E-02
  4.2490040639801954E+01    2.9769637765684892E-03    4.2490040639801954E+01    3.2342497493479290E-02
  4.2647120272481445E+01    2.9553091983002939E-03    4.2647120272481445E+01    3.2225565921840262E-02
  4.2804199905160928E+01    2.9338892012484036E-03    4.2804199905160928E+01    3.2109468916370398E-02
