                       w                      Re11                         w                      Im11
  1.3901547492134835E+01    3.0712100000000000E-03    1.3901547492134835E+01    2.5235919999999998E-02
  1.4058627124814324E+01    3.0116299999999999E-03    1.4058627124814324E+01    2.4977750000000000E-02
  1.4215706757493814E+01    2.9537000000000001E-03    1.4215706757493814E+01    2.4724650000000001E-02
  1.4372786390173303E+01    2.8973499999999999E-03    1.4372786390173303E+01    2.4476459999999998E-02
  1.4529866022852794E+01    2.8425199999999999E-03    1.4529866022852794E+01    2.4233060000000001E-02
  1.4686945655532282E+01    2.7891800000000000E-03    1.4686945655532282E+01    2.3994300000000000E-02
  1.4844025288211773E+01    2.7372600000000000E-03    1.4844025288211773E+01    2.3760060000000000E-02
  1.5001104920891262E+01    2.6867300000000000E-03    1.5001104920891262E+01    2.3530209999999999E-02
  1.5158184553570752E+01    2.6375200000000000E-03    1.5158184553570752E+01    2.3304630000000000E-02
  1.5315264186250241E+01    2.5896000000000001E-03    1.5315264186250241E+01    2.3083220000000002E-02
  1.5472343818929732E+01    2.5429300000000001E-03    1.5472343818929732E+01    2.2865850000000000E-02
  1.5629423451609220E+01    2.4974600000000000E-03    1.5629423451609220E+01    2.2652420000000000E-02
  1.5786503084288711E+01    2.4531599999999998E-03    1.5786503084288711E+01    2.2442830000000000E-02
  1.5943582716968200E+01    2.4099899999999999E-03    1.5943582716968200E+01    2.2236969999999998E-02
  1.6100662349647688E+01    2.3679000000000000E-03    1.6100662349647688E+01    2.2034749999999999E-02
  1.6257741982327179E+01    2.3268700000000000E-03    1.6257741982327179E+01    2.1836069999999999E-02
  1.6414821615006669E+01    2.2868599999999999E-03    1.6414821615006669E+01    2.1640850000000000E-02
  1.6571901247686160E+01    2.2478400000000001E-03    1.6571901247686160E+01    2.1448999999999999E-02
  1.6728980880365647E+01    2.2097800000000002E-03    1.6728980880365647E+01    2.1260430000000000E-02
  1.6886060513045138E+01    2.1726400000000000E-03    1.6886060513045138E+01    2.1075060000000000E-02
  1.7043140145724628E+01    2.1364100000000000E-03    1.7043140145724628E+01    2.0892810000000001E-02
  1.7200219778404119E+01    2.1010500000000001E-03    1.7200219778404119E+01    2.0713599999999999E-02
  1.7357299411083606E+01    2.0665300000000000E-03    1.7357299411083606E+01    2.0537369999999999E-02
  1.7514379043763096E+01    2.0328299999999998E-03    1.7514379043763096E+01    2.0364040000000000E-02
  1.7671458676442587E+01    1.9999200000000001E-03    1.7671458676442587E+01    2.0193530000000001E-02
  1.7828538309122077E+01    1.9677800000000001E-03    1.7828538309122077E+01    2.0025790000000002E-02
  1.7985617941801564E+01    1.9363900000000001E-03    1.7985617941801564E+01    1.9860750000000000E-02
  1.8142697574481055E+01    1.9057200000000001E-03    1.8142697574481055E+01    1.9698340000000002E-02
  1.8299777207160545E+01    1.8757600000000000E-03    1.8299777207160545E+01    1.9538500000000000E-02
  1.8456856839840036E+01    1.8464800000000000E-03    1.8456856839840036E+01    1.9381180000000001E-02
  1.8613936472519523E+01    1.8178599999999999E-03    1.8613936472519523E+01    1.9226310000000000E-02
  1.8771016105199013E+01    1.7898800000000000E-03    1.8771016105199013E+01    1.9073840000000002E-02
  1.8928095737878504E+01    1.7625300000000000E-03    1.8928095737878504E+01    1.8923720000000002E-02
  1.9085175370557995E+01    1.7357799999999999E-03    1.9085175370557995E+01    1.8775879999999998E-02
  1.9242255003237482E+01    1.7096200000000000E-03    1.9242255003237482E+01    1.8630290000000001E-02
  1.9399334635916972E+01    1.6840399999999999E-03    1.9399334635916972E+01    1.8486900000000001E-02
  1.9556414268596463E+01    1.6590100000000000E-03    1.9556414268596463E+01    1.8345640000000000E-02
  1.9713493901275953E+01    1.6345200000000000E-03    1.9713493901275953E+01    1.8206489999999999E-02
  1.9870573533955440E+01    1.6105600000000000E-03    1.9870573533955440E+01    1.8069379999999999E-02
  2.0027653166634931E+01    1.5871100000000001E-03    2.0027653166634931E+01    1.7934280000000000E-02
  2.0184732799314421E+01    1.5641500000000000E-03    2.0184732799314421E+01    1.7801150000000002E-02
  2.0341812431993912E+01    1.5416799999999999E-03    2.0341812431993912E+01    1.7669939999999999E-02
  2.0498892064673399E+01    1.5196800000000000E-03    2.0498892064673399E+01    1.7540610000000002E-02
  2.0655971697352889E+01    1.4981400000000000E-03    2.0655971697352889E+01    1.7413120000000001E-02
  2.0813051330032380E+01    1.4770400000000000E-03    2.0813051330032380E+01    1.7287429999999999E-02
  2.0970130962711870E+01    1.4563700000000000E-03    2.0970130962711870E+01    1.7163520000000002E-02
  2.1127210595391357E+01    1.4361300000000001E-03    2.1127210595391357E+01    1.7041330000000000E-02
  2.1284290228070848E+01    1.4162900000000000E-03    2.1284290228070848E+01    1.6920839999999999E-02
  2.1441369860750338E+01    1.3968600000000000E-03    2.1441369860750338E+01    1.6802009999999999E-02
  2.1598449493429829E+01    1.3778200000000001E-03    2.1598449493429829E+01    1.6684800000000000E-02
  2.1755529126109316E+01    1.3591499999999999E-03    2.1755529126109316E+01    1.6569190000000001E-02
  2.1912608758788807E+01    1.3408500000000000E-03    2.1912608758788807E+01    1.6455140000000000E-02
  2.2069688391468297E+01    1.3229200000000000E-03    2.2069688391468297E+01    1.6342630000000000E-02
  2.2226768024147788E+01    1.3053299999999999E-03    2.2226768024147788E+01    1.6231610000000000E-02
  2.2383847656827275E+01    1.2880900000000000E-03    2.2383847656827275E+01    1.6122069999999999E-02
  2.2540927289506765E+01    1.2711800000000000E-03    2.2540927289506765E+01    1.6013969999999999E-02
  2.2698006922186256E+01    1.2545900000000001E-03    2.2698006922186256E+01    1.5907279999999999E-02
  2.2855086554865746E+01    1.2383200000000000E-03    2.2855086554865746E+01    1.5801989999999998E-02
  2.3012166187545233E+01    1.2223600000000000E-03    2.3012166187545233E+01    1.5698050000000002E-02
  2.3169245820224724E+01    1.2067000000000000E-03    2.3169245820224724E+01    1.5595460000000000E-02
  2.3326325452904214E+01    1.1913399999999999E-03    2.3326325452904214E+01    1.5494170000000000E-02
  2.3483405085583705E+01    1.1762599999999999E-03    2.3483405085583705E+01    1.5394170000000000E-02
  2.3640484718263192E+01    1.1614600000000000E-03    2.3640484718263192E+01    1.5295430000000000E-02
  2.3797564350942682E+01    1.1469300000000000E-03    2.3797564350942682E+01    1.5197930000000000E-02
  2.3954643983622173E+01    1.1326699999999999E-03    2.3954643983622173E+01    1.5101640000000000E-02
  2.4111723616301663E+01    1.1186700000000000E-03    2.4111723616301663E+01    1.5006550000000000E-02
  2.4268803248981150E+01    1.1049199999999999E-03    2.4268803248981150E+01    1.4912630000000000E-02
  2.4425882881660641E+01    1.0914300000000000E-03    2.4425882881660641E+01    1.4819860000000001E-02
  2.4582962514340132E+01    1.0781700000000000E-03    2.4582962514340132E+01    1.4728230000000000E-02
  2.4740042147019622E+01    1.0651500000000000E-03    2.4740042147019622E+01    1.4637700000000000E-02
  2.4897121779699109E+01    1.0523600000000000E-03    2.4897121779699109E+01    1.4548260000000000E-02
  2.5054201412378600E+01    1.0398000000000000E-03    2.5054201412378600E+01    1.4459890000000000E-02
  2.5211281045058090E+01    1.0274500000000001E-03    2.5211281045058090E+01    1.4372569999999999E-02
  2.5368360677737581E+01    1.0153199999999999E-03    2.5368360677737581E+01    1.4286290000000000E-02
  2.5525440310417068E+01    1.0034099999999999E-03    2.5525440310417068E+01    1.4201020000000000E-02
  2.5682519943096558E+01    9.9168999999999993E-04    2.5682519943096558E+01    1.4116750000000001E-02
  2.5839599575776049E+01    9.8017999999999998E-04    2.5839599575776049E+01    1.4033459999999999E-02
  2.5996679208455539E+01    9.6887000000000004E-04    2.5996679208455539E+01    1.3951140000000001E-02
  2.6153758841135026E+01    9.5774000000000000E-04    2.6153758841135026E+01    1.3869760000000000E-02
  2.6310838473814517E+01    9.4680999999999997E-04    2.6310838473814517E+01    1.3789310000000001E-02
  2.6467918106494007E+01    9.3605999999999995E-04    2.6467918106494007E+01    1.3709780000000000E-02
  2.6624997739173498E+01    9.2548999999999995E-04    2.6624997739173498E+01    1.3631150000000000E-02
  2.6782077371852985E+01    9.1509000000000002E-04    2.6782077371852985E+01    1.3553400000000000E-02
  2.6939157004532476E+01    9.0487000000000000E-04    2.6939157004532476E+01    1.3476530000000000E-02
  2.7096236637211966E+01    8.9481000000000001E-04    2.7096236637211966E+01    1.3400509999999999E-02
  2.7253316269891457E+01    8.8491999999999998E-04    2.7253316269891457E+01    1.3325330000000000E-02
  2.7410395902570944E+01    8.7518999999999997E-04    2.7410395902570944E+01    1.3250980000000001E-02
  2.7567475535250434E+01    8.6562000000000000E-04    2.7567475535250434E+01    1.3177450000000000E-02
  2.7724555167929925E+01    8.5619999999999999E-04    2.7724555167929925E+01    1.3104720000000000E-02
  2.7881634800609415E+01    8.4692999999999997E-04    2.7881634800609415E+01    1.3032780000000001E-02
  2.8038714433288902E+01    8.3781000000000003E-04    2.8038714433288902E+01    1.2961610000000000E-02
  2.8195794065968393E+01    8.2883000000000002E-04    2.8195794065968393E+01    1.2891210000000000E-02
  2.8352873698647883E+01    8.1999999999999998E-04    2.8352873698647883E+01    1.2821559999999999E-02
  2.8509953331327374E+01    8.1130999999999998E-04    2.8509953331327374E+01    1.2752640000000001E-02
  2.8667032964006861E+01    8.0274999999999997E-04    2.8667032964006861E+01    1.2684460000000000E-02
  2.8824112596686351E+01    7.9432000000000005E-04    2.8824112596686351E+01    1.2617000000000000E-02
  2.8981192229365842E+01    7.8602999999999995E-04    2.8981192229365842E+01    1.2550240000000001E-02
  2.9138271862045332E+01    7.7786000000000001E-04    2.9138271862045332E+01    1.2484169999999999E-02
  2.9295351494724819E+01    7.6982000000000005E-04    2.9295351494724819E+01    1.2418790000000001E-02
  2.9452431127404310E+01    7.6190000000000003E-04    2.9452431127404310E+01    1.2354080000000000E-02
  2.9609510760083801E+01    7.5409999999999995E-04    2.9609510760083801E+01    1.2290040000000000E-02
  2.9766590392763291E+01    7.4642000000000003E-04    2.9766590392763291E+01    1.2226650000000000E-02
  2.9923670025442778E+01    7.3884999999999999E-04    2.9923670025442778E+01    1.2163900000000000E-02
  3.0080749658122269E+01    7.3140000000000000E-04    3.0080749658122269E+01    1.2101789999999999E-02
  3.0237829290801759E+01    7.2406000000000000E-04    3.0237829290801759E+01    1.2040300000000000E-02
  3.0394908923481250E+01    7.1683000000000001E-04    3.0394908923481250E+01    1.1979429999999999E-02
  3.0551988556160737E+01    7.0969999999999996E-04    3.0551988556160737E+01    1.1919170000000000E-02
  3.0709068188840227E+01    7.0268000000000001E-04    3.0709068188840227E+01    1.1859500000000000E-02
  3.0866147821519718E+01    6.9576000000000002E-04    3.0866147821519718E+01    1.1800420000000001E-02
  3.1023227454199208E+01    6.8893999999999997E-04    3.1023227454199208E+01    1.1741910000000000E-02
  3.1180307086878695E+01    6.8221999999999998E-04    3.1180307086878695E+01    1.1683990000000000E-02
  3.1337386719558186E+01    6.7560000000000005E-04    3.1337386719558186E+01    1.1626620000000001E-02
  3.1494466352237676E+01    6.6907999999999996E-04    3.1494466352237676E+01    1.1569810000000000E-02
  3.1651545984917167E+01    6.6264000000000004E-04    3.1651545984917167E+01    1.1513539999999999E-02
  3.1808625617596654E+01    6.5629999999999996E-04    3.1808625617596654E+01    1.1457820000000001E-02
  3.1965705250276145E+01    6.5005000000000000E-04    3.1965705250276145E+01    1.1402630000000000E-02
  3.2122784882955635E+01    6.4387999999999999E-04    3.2122784882955635E+01    1.1347960000000001E-02
  3.2279864515635126E+01    6.3780000000000000E-04    3.2279864515635126E+01    1.1293810000000000E-02
  3.2436944148314616E+01    6.3181000000000001E-04    3.2436944148314616E+01    1.1240170000000001E-02
  3.2594023780994107E+01    6.2589999999999998E-04    3.2594023780994107E+01    1.1187030000000001E-02
  3.2751103413673590E+01    6.2007000000000002E-04    3.2751103413673590E+01    1.1134379999999999E-02
  3.2908183046353081E+01    6.1432000000000001E-04    3.2908183046353081E+01    1.1082230000000000E-02
  3.3065262679032571E+01    6.0864999999999997E-04    3.3065262679032571E+01    1.1030550000000000E-02
  3.3222342311712062E+01    6.0305999999999999E-04    3.3222342311712062E+01    1.0979360000000001E-02
  3.3379421944391552E+01    5.9754999999999997E-04    3.3379421944391552E+01    1.0928630000000000E-02
  3.3536501577071043E+01    5.9210999999999997E-04    3.3536501577071043E+01    1.0878360000000000E-02
  3.3693581209750533E+01    5.8673999999999998E-04    3.3693581209750533E+01    1.0828549999999999E-02
  3.3850660842430024E+01    5.8144000000000002E-04    3.3850660842430024E+01    1.0779189999999999E-02
  3.4007740475109507E+01    5.7622000000000001E-04    3.4007740475109507E+01    1.0730280000000000E-02
